;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
no_spp;nama_kebuns;dibayar_kepada;tanggal_spp;no_spk;tgl_spk;tgl_brkhir_spk;no_ba;tgl_ba;tgl_faktur;uraian_spp;nilai_rupiah;tgl_masuk;status pembayaran;DIBAYAR;BELUM DIBAYAR;kategori;jenis dokumen;KATEGORI;NO PO;NO MIRO/SES
13.01/SPP/22/I/2023;GUNUNG EMAS;PT Mitra Jaya Lestari Kutim;20-Jan-23;;;;;;;Permintaan pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/TABAR/125/X/2022 tgl. 10 Oktober 2022;159.094.195;20/01/2023;SUDAH DIBAYAR;159.094.195;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/23/I/2023;GUNUNG EMAS;PT Mitra Jaya Lestari Kutim;20-Jan-23;;;;;;;Permintaan pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/TABAR/126/X/2022 tgl. 10 Oktober 2022;65.409.561;20/01/2023;SUDAH DIBAYAR;65.409.561;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/21/I/2023;TABARA;PT Mitra Jaya Lestari Kutim;20-Jan-23;;;;;;;Permintaan pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/Tabar/124/X/2022 tgl. 19 Oktober 2022;192.450.907;20/01/2023;SUDAH DIBAYAR;192.450.907;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/20/I/2023;TABARA;PT Mitra Jaya Lestari Kutim;20-Jan-23;;;;;;;Permintaan Pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/Tabar/127/X/2022;100.084.869;20/01/2023;SUDAH DIBAYAR;100.084.869;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.03/SPP/99/II/2023;NGABANG;CV Gemilang Mandiri;02-Feb-23;;;;;;;Pembayaran rampung atas Jaringan Pipa Penyiraman pembibitan Luas 7 Ha (106.000 Pokok) Kebun Ngabang kontrak No. 13.03/-AB/SP/93/XI/2022;996.970.121;02/02/2023;SUDAH DIBAYAR;996.970.121;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/36/II/2023;PANDAWA;CV Borneo Oenggul Sejahtera;07-Feb-23;;;;;;;Permintaan pembayaran atas Pengadaan Jasa Pembibitan di Kebun Pandawa sesuai Surat Perjanjian No. 13.01/SP/PANDA/146/XII/2022 tgl. 15 Desember 2022;178.359.228;02/07/2023;SUDAH DIBAYAR;178.359.228;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.03/SPP/146/II/2023;RIMBA BELIAN;CV Gemilang Mandiri;21-Feb-23;;;;;;;Pembayaran rampung atas Instalasi Pembibitan Main Nursery Kebun Rimba Belian-Kalimantan Barat Kontrak No. 13.03-AB/SP/90/VIII/2022;356.195.976;21/02/2023;SUDAH DIBAYAR;356.195.976;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.03/SPP/251/III/2023;RIMBA BELIAN;CV Gemilang Mandiri;14-Mar-23;;;;;;;Pembayaran Retensi atas Instalasi Pembibitan Main Nursery Kebun Rimba Belian Kontrak No. 13.03-AB/SP/90/VIII/2022;17.117.335;14/03/2023;SUDAH DIBAYAR;17.117.335;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/113/III/2023;NGABANG;PT Gemilang Mandiri;21-Mar-23;;;;;;;Permintaan pembayaran atas Pekerjaan pemeliharaan Pembibitan Kebun Ngabang No. SPK 13.01/SP/Ngaba/172/XII/2022;132.434.010;21/03/2023;SUDAH DIBAYAR;132.434.010;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
13.01/SPP/126/III/2023;TAJATI;Koperasi Jasa Palm Taka Berkah;29-Mar-23;;;;;;;Permintaan pembayaran atas Pengadaan Jasa Pembibitan di Kebun Tajati sesuai Surat Perjanjian No. 13.01/SP/Tajat/161/XII/2022;128.413.445;29/03/2023;SUDAH DIBAYAR;128.413.445;0;Investasi On Farm;Pembangunan bibitan;Investasi On Farm;;
