,,,,,,,,,,,,,,,,,,,,6.246.499.443,,,,,,,,,0,,0,,0,,0,,0,,0,,0,0,,6.246.499.443,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,0,,,79.495.779.047,,,PEMBAYARAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,79.495.779.047,,,,,73.770.116.598,73.249.279.604,6.246.499.443,,,2.287.435.593,3.959.063.850,,0,0,,TAHAP I,,TAHAP II,,TAHAP III,,TAHAP IV,,TAHAP V,,TAHAP VI,,RAMPUNG,,,,0,,,,,,,,,  65.440.402.353 ,  - ,  - ,  368.410.190 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  5.035.665.131 ,  93.054.928 ,  8.558.246.445 ,  14.055.376.694 ,  14.055.376.694 ,0,  192.059.522 ,  5.559.296.143 ,  5.781.391.774 ,  4.294.885.320 ,  3.078.217.322 ,  6.307.007.552 ,  8.016.994.418 ,  7.766.919.710 ,  3.907.855.245 ,  7.342.543.142 ,  6.946.732.762 ,  - ,  59.193.902.910 ,,
Kontrol,AGENDA,TGL SPP,NO SPP,KATEGORI,VENDOR,NO KONTRAK,TGL. KONTRAK,TGL. KONTRAK BERAKHIR,NO BERITA ACARA,TGL. BERITA ACARA,TGL. FAKTUR PAJAK,HAL,NILAI,POSISI DOKUMEN,TANGGAL MASUK DOKUMEN,PROSES VERIFIKASI,KETERANGAN VERIFIKASI,NILAI SETELAH VERIFIKASI,DIBAYAR,BELUM DIBAYAR,NO PO,NO MIRO/SES,Siap Bayar,Belum Siap Bayar,Keterangan,Dibukukan Tahun 2023,Dibukukan Tahun 2024,Tgl Buku Tahun 2024,JUMLAH,TANGGAL BAYAR I,JUMLAH,TANGGAL BAYAR II,JUMLAH,TANGGAL BAYAR III,JUMLAH,TANGGAL BAYAR IV,JUMLAH,TANGGAL BAYAR V,JUMLAH,TANGGAL BAYAR VI,JUMLAH,TANGGAL BAYAR RAMPUNG,JUMLAH DIBAYAR,BELUM DIBAYAR,FILE SPP,Sub Pekerjaan,Tgl Input, Umur Hutang (Hari) ,Umur SPP,Umur SPK (Hari),Umur SPK,Umur BA (Hari),Umur BA,Saldo Hutang,2023,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des,2024,TOTAL,SELISIH,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des,2025,Total,Selisih
1,1216_2024,26 Feb 2024,5SKH/SPP/139/II/2024,CAPEX,Sa'id Bank Negara Indonesia No. Rekg. 033443445,5SKH/SP/ADD-01/II/2024,13/02/2024,,Notaris PPAT Said Akhmed,26/01/2024,13/02/2024,Pembayaran Tahap II (Add) atas Pengurusan Perpanjangan Hak Guna Usaha (HGU) Kebun Tabara seluas 7.167.43 Ha sesuai Memo Bagian Sekretaris Perusahaan No. 5SKH/5SBS/M-167/II/2023 SP No. 13.00/SP/30/IX/2023 dan 323/SK-N/IX/2023 tgl. 11 September 2023 serta Addendum Perjanjian No. 5SKH/SP/ADD001/II/2024 dan 002A/SK-N/2024 tgl. 13 Februari 2024,577.875.000,KEUANGAN,26/02/2024,26/02/2024,,577.875.000,0,577.875.000,Belum Ada,Belum Ada,,577.875.000,,,,,,,,,,,,,,,,,,,0,577.875.000,0,Pekerjaan Investasi Off Farm Lainnya,,645,> 1 Thn,658,> 1 Thn,658,> 1 Thn,577.875.000,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - 
1,2621_2023,28 Feb 2023,13.07/SPP/09/II/2023,OPEX,Pusat Penelitian Kelapa Sawit,,,,,,,Pembayaran Tahap I (30%) dan Tahap II (70%) Jasa Konsultan Kajian Bisnis dan Ekonomis Rencana Kerja Sama Perbaikan dan Pemeliharaan (Contract Service Maintenance) Pabrik Kelapa Sawit (PKS) di PTPN XIII sesuai Surat Perjanjian No. 13.07/SP/01/III/2022,80.930.943,KEUANGAN,03/05/2023,11/05/2023,,80.930.943,80.930.943,0,,,0,0,,,,,,,,,,,,,,,,,80.930.943,26/06/2025,80.930.943,0,0,Biaya Konsultan,,0,0,0,0,0,0,80.930.943,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  80.930.943 ,  - ,  - ,  - ,  - ,  - ,  - ,  80.930.943 ,  80.930.943 ,  - 
1,5103_2024,17 Sep 2024,5SKH/SPP/786/IX/2024,OPEX,PT Aitara Wira Karta,13.00/SP/21/VII/2023,24/07/2023,31/07/2025,13/BA-STHPB/VIII/2024,31/08/2024,,Jasa Pengamanan Terpadu Kebun/Unit Wilayah Kalimantan Barat periode Agustus 2024,938.774.775,KEUANGAN,17/09/2024,20/09/2024,,938.774.775,938.774.775,0,4100257724,5014718322,,0,,,,,,,,,,,,,,,,,938.774.775,28/10/2024,938.774.775,0,0,Biaya Keamanan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  938.774.775 ,  - ,  - ,  938.774.775 ,  938.774.775 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  938.774.775 ,0
1,7267_2023,18 Des 2023,5SKH/SPP/507/XII/2023,OPEX,PT Senayan Pembangunan,,,,,,,Pembayaran Tahap II Pengurusan Penerbitan Izin Operasional Dermaga/Jetty PKS Rimba Belian,479.207.207,KEUANGAN,19/12/2023,21/12/2023,,479.207.207,479.207.207,0,,,,0,,,,,,,,,,,,,,,,,479.207.207,31/10/2024,479.207.207,0,0,Biaya Konsultan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  479.207.207 ,  - ,  - ,  479.207.207 ,  479.207.207 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  479.207.207 ,0
1,7266_2023,18 Des 2023,5SKH/SPP/508/XII/2023,OPEX,PT Senayan Pembangunan,,,,,,,Pembayaran Tahap II Pengurusan Dokumen Lingkungan Dermaga/Jetty PKS Gunung Meliau,240.230.109,KEUANGAN,19/12/2023,20/12/2023,,240.230.109,240.230.109,0,,,,0,,,,,,,,,,,,,,,,,240.230.109,31/10/2024,240.230.109,0,0,Biaya Konsultan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  240.230.109 ,  - ,  - ,  240.230.109 ,  240.230.109 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  240.230.109 ,0
1,5640_2024,9 Okt 2024,5SKH/SPP/869/X/2024,OPEX,"Esti Kristianti, S.H.",5SKH/SPJ/ADD-18/IX/2024,29/09/2024,,50/Pdt.G/2024/PN Trg,29/08/2024,,Pembayaran Tahap I Pekerjaan Jasa Lawyer/Konsultan Hukum Dalam Rangka Gugatan Sengketa Lahan Pada Afdeling Tanjung Santan Kebun Longkali Kalimantan Timur sesuai Perjanjian No. 13.00/SP/44/XI/2022 tgl. 25 November 2022 dan ADD No. 5SKH/SPJ/ADD-18/IX/2024 - 01/EK-ALC/IX/2024 tgl. 27 September 2024,648.400.000,KEUANGAN,09/10/2024,15/10/2024,,648.400.000,648.400.000,0,4100260798,5201229734,,0,,,,,,,,,,,,,,,,,648.400.000,18/10/2024,648.400.000,0,0,Biaya Konsultan,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  648.400.000 ,  - ,  - ,  648.400.000 ,  648.400.000 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,,  648.400.000 ,0
