,VENDOR PEMBIBITAN TAHUN 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.836.335.936,,1.600.000.000,,350.000.000,,0,,0,,0,,80.254.748.535,86.041.084.471,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,0,,,0,,,86.456.450.052,,,PEMBAYARAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,100.258.198.135,0,"37587457,4","32559772,7",0,87.401.598.033,86.041.084.471,14.217.113.664,,,6.364.452.691,7.852.660.973,,12.180.806.701,1.620.941.382,,TAHAP I,,TAHAP II,,TAHAP III,,TAHAP IV,,TAHAP V,,TAHAP VI,,RAMPUNG,,03/10/2025,,,,,,,,,,,  69.334.556.900 ,  4.594.656.136 ,  - ,  78.880.368 ,  3.255.382.166 ,  - ,  1.190.539.829 ,  2.628.310.481 ,  1.999.784.146 ,  67.937.423 ,  482.745.606 ,  15.249.686.042 ,  1.179.892.988 ,  195.826.050 ,  26.328.985.099 ,  30.923.641.235 ,  55.117.443.236 ,  6.052.917.307 ,  7.521.820.647 ,  772.219.975 ,  7.243.531.682 ,  3.378.214.641 ,  6.621.140.392 ,  2.537.979.160 ,  2.490.567.450 ,  4.005.828.941 ,  6.802.419.276 ,  7.525.846.535 ,  - ,  54.952.486.006 ,,
Kontrol,AGENDA,TGL SPP,NO SPP,KEBUN,VENDOR,NO KONTRAK,TGL. KONTRAK,TGL. BERAKHIR KONTRAK,NO. BERITA ACARA,TGL. BERITA ACARA,TGL. FAKTUR PAJAK,HAL,NILAI,POSISI DOKUMEN,TANGGAL MASUK DOKUMEN,PROSES VERIFIKASI,KETERANGAN VERIFIKASI,NILAI SETELAH VERIFIKASI,DIBAYAR,BELUM DIBAYAR,NO PO,NO MIRO/SES,Siap Bayar,Belum Siap Bayar,Keterangan,Dibukukan Tahun 2023,Dibukukan Tahun 2024,Tgl Buku Tahun 2024,JUMLAH,TANGGAL BAYAR I,JUMLAH,TANGGAL BAYAR II,JUMLAH,TANGGAL BAYAR III,JUMLAH,TANGGAL BAYAR IV,JUMLAH,TANGGAL BAYAR V,JUMLAH,TANGGAL BAYAR VI,JUMLAH,TANGGAL BAYAR RAMPUNG,JUMLAH DIBAYAR,BELUM DIBAYAR,KATEGORI,Sub Pekerjaan,Tgl. Input, Umur Hutang (Hari) ,Umur SPP,Umur SPK (Hari),Umur SPK,Umur BA (Hari),Umur BA, Saldo Hutang ,  2.023 , Jan , Feb , Mar , Apr , Mei , Jun , Jul , Agu , Sep , Okt , Nov , Des , Sd 2024 , TOTAL , SELISIH ,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des,2025,Total,Selisih
1,0460_2023,20 Jan 2023,13.01/SPP/22/I/2023,GUNUNG EMAS,PT Mitra Jaya Lestari Kutim,,,,,,,Permintaan pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/TABAR/125/X/2022 tgl. 10 Oktober 2022,159.094.195,KEUANGAN,20/01/2023,20/03/2023,,159.094.195,159.094.195,0,,,,0,,159.094.195,,,,,,,,,,,,,,,159.094.195,20/03/2023,159.094.195,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  159.094.195 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  159.094.195 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  159.094.195 
1,0461_2023,20 Jan 2023,13.01/SPP/23/I/2023,GUNUNG EMAS,PT Mitra Jaya Lestari Kutim,,,,,,,Permintaan pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/TABAR/126/X/2022 tgl. 10 Oktober 2022,65.409.561,KEUANGAN,20/01/2023,03/02/2023,,65.409.561,65.409.561,0,,,,0,,65.409.561,,,,,,,,,,,,,,,65.409.561,20/03/2023,65.409.561,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  65.409.561 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  65.409.561 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  65.409.561 
1,0464_2023,20 Jan 2023,13.01/SPP/21/I/2023,TABARA,PT Mitra Jaya Lestari Kutim,,,,,,,Permintaan pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/Tabar/124/X/2022 tgl. 19 Oktober 2022,192.450.907,KEUANGAN,20/01/2023,03/02/2023,,192.450.907,192.450.907,0,,,,0,,192.450.907,,,,,,,,,,,,,,,192.450.907,20/03/2023,192.450.907,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  192.450.907 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  192.450.907 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  192.450.907 
1,0465_2023,20 Jan 2023,13.01/SPP/20/I/2023,TABARA,PT Mitra Jaya Lestari Kutim,,,,,,,Permintaan Pembayaran atas Pekerjaan pemeliharaan Bibit di Lokasi Pembibitan Kebun Tabara sesuai Kontrak No. 13.01/SP/Tabar/127/X/2022,100.084.869,KEUANGAN,20/01/2023,02/02/2023,,100.084.869,100.084.869,0,,,,0,,100.084.869,,,,,,,,,,,,,,,100.084.869,20/03/2023,100.084.869,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  100.084.869 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  100.084.869 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  100.084.869 
1,0818_2023,2 Feb 2023,13.03/SPP/99/II/2023,NGABANG,CV Gemilang Mandiri,,,,,,,Pembayaran rampung atas Jaringan Pipa Penyiraman pembibitan Luas 7 Ha (106.000 Pokok) Kebun Ngabang kontrak No. 13.03/-AB/SP/93/XI/2022,996.970.121,KEUANGAN,02/02/2023,09/04/2023,,996.970.121,996.970.121,0,,,,0,,996.970.121,,,200.000.000,25/09/2023,150.000.000,24/10/2023,200.000.000,07/11/2023,,,,,,,446.970.121,29/12/2023,996.970.121,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  996.970.121 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  996.970.121 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  996.970.121 
1,0904_2023,7 Feb 2023,13.01/SPP/36/II/2023,PANDAWA,CV Borneo Oenggul Sejahtera,,,,,,,Permintaan pembayaran atas Pengadaan Jasa Pembibitan di Kebun Pandawa sesuai Surat Perjanjian No. 13.01/SP/PANDA/146/XII/2022 tgl. 15 Desember 2022,178.359.228,KEUANGAN,07/02/2023,21/02/2023,,178.359.228,178.359.228,0,,,,0,,178.359.228,,,,,,,,,,,,,,,178.359.228,15/03/2023,178.359.228,0,CAPEX,Pembangunan bibitan,,0,0,0,0,0,0,  - ,  178.359.228 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  178.359.228 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  178.359.228 
