,,,,,,,,,,,,,,,,,,,,14.441.326.566,,,,,,,,,64.795.410.612,,15.577.284.003,,5.681.483.077,,3.580.258.935,,1.594.295.000,,1.153.758.500,,89.013.716.654,181.396.206.781,,2.131.712.862,,,3.548.865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,0,0,,,0,,,229.483.051.283,,,PEMBAYARAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,369.034.035.456,,,,,321.914.565.371,354.592.708.890,14.441.326.566,,,5.270.956.985,9.170.369.581,"Kontrak 13/10/2023 sd 10/02/2024, dibukukan 29/02/2024 (RKAP 2024 tidak dianggarkan)",116.846.752.617,22.704.231.556,,TAHAP I,,TAHAP II,,TAHAP III,,TAHAP IV,,TAHAP V,,TAHAP VI,,RAMPUNG,,03/10/2025,,0,,,,,,,,,  158.126.543.376 ,  21.169.197.774 ,  12.788.535.226 ,  3.211.182.069 ,  4.497.339.380 ,  14.955.599.665 ,  5.161.409.173 ,  28.738.056.829 ,  39.019.254.292 ,  7.520.505.582 ,  23.257.730.950 ,  15.309.023.482 ,  3.355.450.609 ,  31.924.207.049 ,  189.738.294.306 ,  210.907.492.080 ,0,  222.837.553 ,  10.220.478.761 ,  2.860.196.039 ,  258.240.510 ,  - ,  87.101.127 ,  1.674.349.071 ,  - ,  - ,  - ,  - ,  - ,  143.675.967.913 ,,
Kontrol,AGENDA,TGL SPP,NO SPP,KATEGORI,VENDOR,NO KONTRAK,TGL. KONTRAK,TGL. KONTRAK BERAKHIR,NO BERITA ACARA,TGL. BERITA ACARA,TGL. FAKTUR PAJAK,HAL,NILAI,POSISI DOKUMEN,TANGGAL MASUK DOKUMEN,PROSES VERIFIKASI,KETERANGAN VERIFIKASI,NILAI SETELAH VERIFIKASI,DIBAYAR,BELUM DIBAYAR,NO PO,NO MIRO/SES,Siap Bayar,Belum Siap Bayar,Keterangan,Dibukukan Tahun 2023,Dibukukan Tahun 2024,Tgl Buku Tahun 2024,JUMLAH,TANGGAL BAYAR I,JUMLAH,TANGGAL BAYAR II,JUMLAH,TANGGAL BAYAR III,JUMLAH,TANGGAL BAYAR IV,JUMLAH,TANGGAL BAYAR V,JUMLAH,TANGGAL BAYAR VI,JUMLAH,TANGGAL BAYAR RAMPUNG,JUMLAH DIBAYAR,BELUM DIBAYAR,FILE SPP,Sub Pekerjaan,Tgl Input, Umur Hutang (Hari) ,Umur SPP,Umur SPK (Hari),Umur SPK,Umur BA (Hari),Umur BA,Saldo Hutang,2023,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des,Sd 2024,TOTAL,SELISIH,Jan,Feb,Mar,Apr,Mei,Jun,Jul,Agu,Sep,Okt,Nov,Des,2025,Total,Selisih
1,4259_2023,26 Jul 2023,13.03/SPP/592/VII/2023,CAPEX,CV Aneka Jasa,,,,,,,Pembayaran atas Pembelian Barang dan Jasa sesuai SPJB No. 13.03/SPJB/04/2023,810.300.000,KEUANGAN,26/07/2023,27/07/2023,,810.300.000,810.300.000,0,,,0,0,,810.300.000,,,810.300.000,22/07/24,,,,,,,,,,,,,810.300.000,0,0,Pekerjaan Pembangunan Mesin dan Instalasi,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  810.300.000 ,  - ,  - ,  - ,  - ,  - ,  810.300.000 ,  810.300.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  810.300.000 ,  - 
1,4378_2023,28 Jul 2023,13.03/SPP/604/VII/2023,OPEX,CV Aneka Jasa,13/03/SPJB/08/2023,,,,,,Pembayaran atas Pembelian dan Jasa sesuai OPL/SPK/SPJB No. 13/03/SPJB/08/2023,247.252.500,KEUANGAN,28/07/2023,02/08/2023,,247.252.500,247.252.500,0,,,0,0,,247.252.500,,,247.252.500,01/04/24,,,,,,,,,,,,,247.252.500,0,0,,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  247.252.500 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  247.252.500 ,  247.252.500 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,  - ,  247.252.500 ,0
1,4462_2023,31 Jul 2023,13.03/SPP/613/VII/2023,CAPEX,CV Aneka Jasa,13.03/SPJB/05/2023,,,,,,Pembayaran atas Pembelian barang dan Jasa sesuai OPL/SPK/SPJB No. 13.03/SPJB/05/2023,571.650.000,KEUANGAN,31/07/2023,02/08/2023,,571.650.000,571.650.000,0,,,0,0,,571.650.000,,,,,,,,,,,,,,,571.650.000,25/01/2024,571.650.000,0,0,,,0,0,0,0,0,0,0,  - ,  571.650.000 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  571.650.000 ,  571.650.000 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,  - ,  571.650.000 ,0
1,5345_2023,8 Sep 2023,13.03/SPP/732/IX/2023,OPEX,CV Aneka Jasa,13.03/17/002/SPK/2023,,,,,,Pembayaran rampung atas pengadaan sparepart Alat berat Kebun Tajati Kontrak No. 13.03/17/002/SPK/2023,73.232.250,KEUANGAN,11/09/2023,12/09/2023,,73.232.250,73.232.250,0,,,0,0,,73.232.250,,,73.232.250,01/04/2024,,,,,,,,,,,,,73.232.250,0,0,,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  73.232.250 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  73.232.250 ,  73.232.250 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,  - ,  73.232.250 ,0
1,5380_2023,12 Sep 2023,13.03/SPP/743/IX/2023,OPEX,CV Aneka Jasa,13.03/00/12/OPL/2023,,,,,,Pembayaran atas Pembelian barang dan Jasa OPL/SPK/SPJB No. 13.03/00/12/OPL/2023,10.339.650,KEUANGAN,12/09/2023,,,0,10.339.650,0,,,0,0,,10.339.650,,,10.339.650,01/04/2024,,,,,,,,,,,,,10.339.650,0,0,,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  10.339.650 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  10.339.650 ,  10.339.650 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,  - ,  10.339.650 ,0
1,5710_2023,29 Sep 2023,13.03/SPP/799/IX/2023,OPEX,CV Aneka Jasa,13.03/00/11/OPL/2023,,,,,,Pembayaran atas Pembelian barang dan Jasa sesuai OPL/SPK/SPJB No. 13.03/00/11/OPL/2023,13.786.200,KEUANGAN,02/10/2023,Cuti,,13.786.200,13.786.200,0,,,0,0,,13.786.200,,,13.786.200,01/04/2024,,,,,,,,,,,,,13.786.200,0,0,,,0,0,0,0,0,0,0,  - ,  - ,  - ,  - ,  13.786.200 ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  13.786.200 ,  13.786.200 ,  - ,0,0,0,0,0,0,0,0,0,0,0,0,  - ,  13.786.200 ,0
